freq,unit,geo\TIME_PERIOD,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,HAB_P,DE,105.85,104.97,104.99,105.94,107.92,108.86,109.98,110.77,111.9,113.43,115.03,117.29,118.89,121.46,122.48,123.1,123.02,123.09,123.44,123.83,124.36,124.59,124.96,125.04,125.51,125.43,126.35,127.91,128.86,129.54,130.47,NaN
A,HAB_P,DK,NaN,NaN,NaN,NaN,236.62,241.1,248.63,253.24,256.86,252.0,260.58,270.53,277.78,281.67,288.01,296.0,300.9,299.21,333.05,NaN,336.76,382.63,403.76,390.43,386.12,383.72,385.67,386.47,397.98,403.76,429.54,NaN
A,HAB_P,DK01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,257.91,263.84,267.61,237.03,302.65,NaN,309.38,415.47,413.97,319.62,329.72,333.62,336.03,334.1,342.44,358.51,370.44,NaN
A,HAB_P,DK02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,299.91,312.33,304.49,342.08,319.0,NaN,322.32,329.55,329.42,354.7,340.55,356.36,362.67,361.87,373.19,373.19,415.12,NaN
A,HAB_P,DK03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,298.3,310.81,317.34,332.88,334.71,NaN,343.06,346.66,437.22,456.3,438.01,411.62,395.87,399.53,421.02,414.99,455.11,NaN
A,HAB_P,DK04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,315.5,320.71,335.11,355.02,398.51,NaN,374.77,429.49,423.57,470.83,457.62,446.02,460.99,462.97,461.97,475.75,509.46,NaN
A,HAB_P,DK05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300.13,306.37,311.55,324.04,332.07,NaN,363.6,365.63,395.81,459.67,442.1,437.5,443.83,453.64,484.5,456.93,468.73,NaN
A,HAB_P,EL,205.67,207.09,205.35,203.94,204.38,204.3,208.63,208.24,205.15,207.11,207.19,206.76,204.24,199.71,199.02,199.89,196.05,215.23,215.82,218.42,230.59,232.34,233.42,236.89,236.92,238.04,240.84,238.16,235.95,234.71,235.94,NaN
A,HAB_P,EL30,150.03,150.42,150.9,147.84,149.22,150.45,157.17,162.85,157.93,158.38,161.59,161.38,161.91,159.92,159.25,160.73,156.82,171.18,169.82,169.75,184.46,187.2,192.0,195.07,196.55,197.15,199.58,201.43,204.8,209.18,211.71,NaN
A,HAB_P,EL41,368.5,368.5,372.22,367.27,368.5,367.88,366.06,360.68,352.07,356.04,344.93,347.64,354.32,333.48,328.04,320.9,319.97,335.51,342.26,366.66,348.74,354.89,356.04,356.04,350.95,354.32,361.07,349.6,324.95,293.68,286.39,NaN
