freq,citizen,sex,age,unit,geo\TIME_PERIOD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,EU27_2020_FOR,F,Y20-64,PC_POP,UK,2.1,2.1,2.0,2.1,2.0,1.8,2.2,2.4,2.6,2.6,2.3,2.1,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,AT,1.5,1.4,1.4,1.6,1.8,1.8,2.0,2.1,2.3,2.3,2.2,2.3,2.3,2.2,2.3,2.2,2.4
A,EU27_2020_FOR,F,Y_GE15,PC_POP,BA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,BE,1.3,1.4,1.5,1.7,1.7,1.6,2.0,1.6,1.5,1.4,1.4,1.5,1.3,1.1,1.2,1.4,1.4
A,EU27_2020_FOR,F,Y_GE15,PC_POP,BG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,CH,2.7,2.9,2.2,2.4,3.2,3.6,3.7,3.9,4.0,3.9,3.7,3.7,3.5,3.5,3.6,3.8,4.0
A,EU27_2020_FOR,F,Y_GE15,PC_POP,CY,2.6,3.0,4.5,4.7,4.8,3.5,2.2,2.0,2.0,1.8,2.2,2.1,2.2,1.9,1.7,1.6,1.3
A,EU27_2020_FOR,F,Y_GE15,PC_POP,CZ,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.1
A,EU27_2020_FOR,F,Y_GE15,PC_POP,DE,0.6,0.6,0.4,0.5,0.6,0.7,0.9,1.1,1.3,1.3,1.3,1.3,1.0,1.2,1.2,1.1,1.0
A,EU27_2020_FOR,F,Y_GE15,PC_POP,DK,0.2,0.4,0.5,0.6,0.7,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.5,0.4,0.4,0.8
A,EU27_2020_FOR,F,Y_GE15,PC_POP,EA20,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.7,0.6,0.7,0.6,0.5,0.6,0.6,0.6,0.6
A,EU27_2020_FOR,F,Y_GE15,PC_POP,EE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2,0.2,0.2,0.2,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,EL,0.4,0.5,0.4,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,ES,1.5,1.3,1.0,0.8,0.6,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.4,0.3,0.4,0.4,0.4
A,EU27_2020_FOR,F,Y_GE15,PC_POP,EU27_2020,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
A,EU27_2020_FOR,F,Y_GE15,PC_POP,FI,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.1,0.1,0.3,0.3,0.4,0.3
A,EU27_2020_FOR,F,Y_GE15,PC_POP,FR,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2
A,EU27_2020_FOR,F,Y_GE15,PC_POP,HR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,HU,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
A,EU27_2020_FOR,F,Y_GE15,PC_POP,IE,5.6,5.4,4.6,3.7,2.8,2.0,1.8,2.0,2.1,2.2,2.3,2.1,1.7,1.1,1.1,1.1,1.1
A,EU27_2020_FOR,F,Y_GE15,PC_POP,IS,NaN,NaN,NaN,0.9,0.7,0.9,0.9,0.5,NaN,NaN,NaN,0.7,0.9,1.1,1.5,1.4,1.3
A,EU27_2020_FOR,F,Y_GE15,PC_POP,IT,0.5,0.6,0.6,0.6,0.5,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
A,EU27_2020_FOR,F,Y_GE15,PC_POP,LT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,LU,6.6,7.0,6.7,7.7,8.4,8.1,8.5,9.3,10.3,9.8,10.5,9.7,9.0,2.6,6.8,6.4,7.7
A,EU27_2020_FOR,F,Y_GE15,PC_POP,LV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,ME,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,MK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,MT,NaN,NaN,NaN,NaN,NaN,0.2,0.3,0.3,0.4,0.7,1.8,3.1,2.6,2.4,2.4,2.4,1.8
A,EU27_2020_FOR,F,Y_GE15,PC_POP,NL,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.9,0.7,0.8,0.8
A,EU27_2020_FOR,F,Y_GE15,PC_POP,NO,0.5,0.7,1.0,1.3,1.8,1.9,1.6,2.0,1.6,1.5,2.1,1.5,1.3,0.7,0.7,0.8,0.9
A,EU27_2020_FOR,F,Y_GE15,PC_POP,PL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,PT,0.2,0.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,NaN,NaN,NaN,NaN,0.1,0.1
A,EU27_2020_FOR,F,Y_GE15,PC_POP,RO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,RS,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,SE,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.9,1.0,0.8,0.6,0.5,0.7
A,EU27_2020_FOR,F,Y_GE15,PC_POP,SI,NaN,NaN,NaN,NaN,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.1,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,SK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE15,PC_POP,UK,1.6,1.6,1.5,1.6,1.5,1.4,1.7,1.8,2.0,2.0,1.8,1.6,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE20,PC_POP,AT,1.5,1.4,1.5,1.7,1.8,1.8,2.0,2.1,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.4
A,EU27_2020_FOR,F,Y_GE20,PC_POP,BA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE20,PC_POP,BE,1.4,1.5,1.6,1.7,1.7,1.6,2.0,1.7,1.5,1.5,1.4,1.5,1.3,1.1,1.2,1.5,1.5
A,EU27_2020_FOR,F,Y_GE20,PC_POP,BG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE20,PC_POP,CH,2.9,3.0,2.3,2.5,3.4,3.7,3.8,4.0,4.1,4.0,3.7,3.8,3.6,3.6,3.6,3.9,4.1
A,EU27_2020_FOR,F,Y_GE20,PC_POP,CY,2.7,3.1,4.6,4.9,5.0,3.6,2.2,1.9,2.0,1.7,2.2,2.1,2.1,1.8,1.7,1.6,1.2
A,EU27_2020_FOR,F,Y_GE20,PC_POP,CZ,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.1
A,EU27_2020_FOR,F,Y_GE20,PC_POP,DE,0.6,0.6,0.4,0.5,0.6,0.7,0.9,1.1,1.3,1.3,1.3,1.2,1.0,1.2,1.2,1.1,1.0
A,EU27_2020_FOR,F,Y_GE20,PC_POP,DK,0.2,0.4,0.5,0.6,0.7,0.9,0.8,0.9,0.8,0.7,0.8,0.7,0.7,0.5,0.4,0.5,0.9
A,EU27_2020_FOR,F,Y_GE20,PC_POP,EA20,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.6,0.5,0.6,0.6,0.6,0.6
A,EU27_2020_FOR,F,Y_GE20,PC_POP,EE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2,0.2,0.3,0.2,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE20,PC_POP,EL,0.4,0.5,0.5,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE20,PC_POP,ES,1.5,1.3,1.0,0.8,0.6,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.3,0.4,0.4,0.4
A,EU27_2020_FOR,F,Y_GE20,PC_POP,EU27_2020,0.6,0.6,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
