Country,Legislature type,Salary (local),Salary ($US),GDP per capita ($US),Salary as % GDP per capita,Data confidence,Last checked,Source
:sm: San Marino,Great and General Council,€ 31200,36960,65718,56%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/SM/SM-LC01/parliamentary-mandate/parliamentary-mandate/)
:tt: Trinidad and Tobago,House of Representatives,TT$ 248016,36570,31572,116%,High,24-Nov-2024,"[Salary Review Commission May 2023 (report 117, p39)](https://www.ttparliament.org/113th-and-117th-reports-of-the-salaries-review-commission-src/)"
:so: Somalia,House of the People,US$ 36000,36000,1611,2234%,Medium,21-Oct-2024,[Media report 2023](https://mogadishu24.com/somalia-approves-50-wage-increase-for-mps-in-2024-budget/)
:tl: Timor-Leste,National Parliament,US$ 36000,36000,5109,705%,Medium,24-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/TL/TL-LC01/parliamentary-mandate/parliamentary-mandate/)
:ly: Libya,House of Representatives,ل.د 192000,35570,19641,181%,Medium,21-Oct-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/LY/LY-LC01/parliamentary-mandate/parliamentary-mandate/)
:ar: Argentina,Chamber of Deputies,$ 49563108,33620,29363,114%,Medium,15-Oct-2024,[Media report 2024](https://www.lanacion.com.ar/politica/los-sueldos-en-el-estado-los-senadores-y-diputados-cobran-mas-que-el-presidente-y-los-ministros-nid20082024/)
:bb: Barbados,House of Assembly,Bds$ 66880,33440,19357,173%,High,25-Oct-2024,[Government legislation 2024](https://www.barbadosparliament.com/uploads/sittings/attachments/0115746c993e6a7ce782d7f0ff1808c5.pdf)
:to: Tonga,Legislative Assembly,T$ 79500,33170,7016,473%,Medium,24-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/TO/TO-LC01/parliamentary-mandate/parliamentary-mandate/)
:mv: Maldives,People's Majlis,ރ 510000,33080,24809,133%,Medium,5-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/MV/MV-LC01/parliamentary-mandate/parliamentary-mandate/)
:ni: Nicaragua,National Assembly,C$ 1212772,32990,8044,410%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2021](https://data.ipu.org/parliament/NI/NI-LC01/parliamentary-mandate/parliamentary-mandate/)
:dz: Algeria,National People's Assembly,دج 4242168,32840,17027,193%,Medium,21-Oct-2024,[Inter-Parliamentary Union](https://data.ipu.org/parliament/DZ/DZ-LC01/parliamentary-mandate/parliamentary-mandate/)
:mh: Marshall Islands,Nitijela,US$ 32500,32500,7491,434%,High,5-Nov-2024,[Act of Parliament (amended 2018)](https://rmiparliament.org/cms/images/LEGISLATION/PRINCIPAL/1975/1975-0002/1975-0002_2.pdf)
:ad: Andorra,General Council,€ 27424,32490,71588,45%,High,22-Nov-2024,[Andorra Government Mar 2024](https://www.consellgeneral.ad/ca/arxiu/info/legislatura-actual/salaris/retribucions-als-consellers-generals-any-2023)
