CN,ISO,Rate
30012090,SI,9.5
31,SI,9.5
31010000,SI,9.5
3102,SI,9.5
382460,SI,9.5
38249992,SI,9.5
38249993,SI,9.5
38249996,SI,9.5
1205,SI,9.5
28020000,SI,9.5
3002,SI,9.5
3003,SI,9.5
3004,SI,9.5
3005,SI,9.5
300610,SI,9.5
30062000,SI,9.5
30064000,SI,9.5
30066000,SI,9.5
38220000,SI,9.5
39249000,SI,9.5
39269097,SI,9.5
40141000,SI,9.5
40149000,SI,9.5
90189084,SI,9.5
961900,SI,9.5
96190030,SI,9.5
96190040,SI,9.5
96190071,SI,9.5
96190075,SI,9.5
96190079,SI,9.5
30067000,SI,9.5
30069100,SI,9.5
32141010,SI,9.5
35061000,SI,9.5
3923,SI,9.5
39269092,SI,9.5
42032990,SI,9.5
48030090,SI,9.5
61082100,SI,9.5
61082200,SI,9.5
61082900,SI,9.5
6115,SI,9.5
62160000,SI,9.5
64,SI,9.5
66020000,SI,9.5
8413,SI,9.5
84145100,SI,9.5
841459,SI,9.5
85437090,SI,9.5
87120070,SI,9.5
8713,SI,9.5
87142000,SI,9.5
90013000,SI,9.5
900140,SI,9.5
900150,SI,9.5
90029000,SI,9.5
90041010,SI,9.5
90041091,SI,9.5
90041099,SI,9.5
90049010,SI,9.5
90049090,SI,9.5
9005,SI,9.5
9013,SI,9.5
90183110,SI,9.5
90183190,SI,9.5
90183900,SI,9.5
90189075,SI,9.5
90192000,SI,9.5
9021,SI,9.5
902110,SI,9.5
9027,SI,9.5
90275000,SI,9.5
9401,SI,9.5
58050000,SI,9.5
6304,SI,9.5
9701,SI,9.5
97020000,SI,9.5
97030000,SI,9.5
97030000,SI,9.5
97040000,SI,9.5
97050000,SI,9.5
97060000,SI,9.5
0601,SI,0.0
0602,SI,0.0
0603,SI,0.0
0604,SI,0.0
1209,SI,0.0
3904,SI,5.0
4901,SI,5.0
4902,SI,5.0
49030000,SI,5.0
4905,SI,5.0
8523,SI,5.0
,SI,22.0
01012910,ES,10.0
01012990,ES,10.0
01013000,ES,10.0
01019000,ES,10.0
01022905,ES,10.0
01022910,ES,10.0
01022921,ES,10.0
01022929,ES,10.0
01022941,ES,10.0
01022949,ES,10.0
01022951,ES,10.0
01022959,ES,10.0
01022961,ES,10.0
01022969,ES,10.0
01022991,ES,10.0
01022999,ES,10.0
01023910,ES,10.0
01023990,ES,10.0
010290,ES,10.0
010391,ES,10.0
010392,ES,10.0
01041030,ES,10.0
01041080,ES,10.0
01042090,ES,10.0
0105,ES,10.0
0106,ES,10.0
02,ES,10.0
030191,ES,10.0
030192,ES,10.0
03019300,ES,10.0
03019410,ES,10.0
03019500,ES,10.0
030199,ES,10.0
0302,ES,10.0
0303,ES,10.0
0304,ES,10.0
0305,ES,10.0
0306,ES,10.0
0307,ES,10.0
03081100,ES,10.0
03081200,ES,10.0
03081900,ES,10.0
03082100,ES,10.0
03082200,ES,10.0
03082900,ES,10.0
030830,ES,10.0
030890,ES,10.0
03089010,ES,10.0
0404,ES,10.0
0405,ES,10.0
04090000,ES,10.0
04100000,ES,10.0
0601,ES,10.0
06023000,ES,10.0
06024000,ES,10.0
060290,ES,10.0
0603,ES,10.0
0710,ES,10.0
0711,ES,10.0
09,ES,10.0
1201,ES,10.0
1202,ES,10.0
12030000,ES,10.0
120400,ES,10.0
1205,ES,10.0
120600,ES,10.0
12071000,ES,10.0
12073000,ES,10.0
120740,ES,10.0
120750,ES,10.0
12076000,ES,10.0
12077000,ES,10.0
120791,ES,10.0
120799,ES,10.0
1208,ES,10.0
1209,ES,10.0
1210,ES,10.0
1211,ES,10.0
1212,ES,10.0
12130000,ES,10.0
1214,ES,10.0
1302,ES,10.0
15,ES,10.0
16,ES,10.0
17,ES,10.0
18,ES,10.0
19,ES,10.0
2001,ES,10.0
2002,ES,10.0
2003,ES,10.0
2004,ES,10.0
2005,ES,10.0
200600,ES,10.0
2007,ES,10.0
2008,ES,10.0
2009,ES,10.0
21,ES,10.0
220900,ES,10.0
25010091,ES,10.0
2201,ES,10.0
30023000,ES,10.0
3005,ES,10.0
300610,ES,10.0
30062000,ES,10.0
30063000,ES,10.0
30064000,ES,10.0
30065000,ES,10.0
30067000,ES,10.0
40141000,ES,10.0
31,ES,10.0
58050000,ES,10.0
63049100,ES,10.0
63049200,ES,10.0
63049900,ES,10.0
90013000,ES,10.0
90014041,ES,10.0
90014049,ES,10.0
90014080,ES,10.0
90015041,ES,10.0
90015049,ES,10.0
90015080,ES,10.0
90041010,ES,10.0
901831,ES,10.0
901832,ES,10.0
90183900,ES,10.0
90189010,ES,10.0
902110,ES,10.0
902121,ES,10.0
90212900,ES,10.0
90213100,ES,10.0
902139,ES,10.0
90214000,ES,10.0
96190040,ES,10.0
96190071,ES,10.0
96190075,ES,10.0
96190079,ES,10.0
9701,ES,10.0
97020000,ES,10.0
97020000,ES,10.0
97030000,ES,10.0
97030000,ES,10.0
97030000,ES,10.0
97030000,ES,10.0
97040000,ES,10.0
97050000,ES,10.0
97060000,ES,10.0
0401,ES,4.0
0402,ES,4.0
0403,ES,4.0
0406,ES,4.0
0407,ES,4.0
0408,ES,4.0
0701,ES,4.0
07020000,ES,4.0
0703,ES,4.0
0704,ES,4.0
0705,ES,4.0
0706,ES,4.0
070700,ES,4.0
0708,ES,4.0
0709,ES,4.0
0712,ES,4.0
0713,ES,4.0
0714,ES,4.0
08,ES,4.0
1001,ES,4.0
1002,ES,4.0
1003,ES,4.0
1004,ES,4.0
