freq,unit,deg_urb,geo\TIME_PERIOD,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,PC,DEG2,MK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5,11.9,10.0,10.5,9.7,NaN,NaN,NaN,NaN
A,PC,DEG2,MT,NaN,NaN,2.2,1.3,2.0,3.2,3.4,3.7,3.7,2.4,2.3,2.0,1.3,1.4,1.6,1.6,2.8,2.3,2.4,2.9,5.9,7.9
A,PC,DEG2,NL,NaN,NaN,17.6,18.0,16.3,12.0,11.4,13.1,12.7,12.6,13.8,13.7,12.9,7.7,6.1,6.4,6.3,5.3,5.4,7.6,6.5,3.6
A,PC,DEG2,NO,NaN,9.5,5.6,8.2,11.5,10.8,10.8,10.0,9.0,9.2,7.3,NaN,7.8,8.5,8.8,8.9,9.7,9.2,8.9,12.2,14.0,14.0
A,PC,DEG2,PL,NaN,NaN,12.9,8.8,10.2,8.8,7.7,7.2,8.5,10.0,9.6,10.0,8.8,8.3,6.7,6.0,5.8,4.9,5.1,5.1,5.4,4.8
A,PC,DEG2,PT,NaN,4.6,4.4,5.4,8.7,7.4,6.5,3.3,6.8,8.6,8.6,10.3,10.0,7.9,6.4,6.0,4.4,3.7,5.8,5.1,3.7,7.0
A,PC,DEG2,RO,NaN,NaN,NaN,NaN,35.2,23.9,10.8,21.8,5.1,19.4,16.3,13.8,13.9,11.4,10.3,8.7,7.9,7.4,5.7,8.0,8.3,3.7
A,PC,DEG2,RS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.8,30.6,35.3,29.4,34.3,30.3,23.4,19.2,16.4,14.2,16.2,NaN
A,PC,DEG2,SE,NaN,9.8,9.2,9.4,8.7,8.6,10.4,7.7,9.4,9.5,6.8,6.5,7.6,7.8,6.7,7.5,7.7,6.8,6.8,7.5,9.7,9.2
A,PC,DEG2,SI,NaN,NaN,4.7,3.0,4.9,4.3,4.2,4.2,5.3,5.6,6.5,6.3,6.2,5.5,5.3,4.8,3.7,4.0,4.8,4.8,4.9,4.5
A,PC,DEG2,SK,NaN,NaN,16.0,17.7,17.6,6.0,9.1,8.0,8.3,7.8,7.3,8.0,8.6,7.9,9.1,4.9,5.8,4.0,6.8,2.3,6.7,6.0
A,PC,DEG2,UK,NaN,NaN,11.5,14.8,13.3,14.2,12.7,12.5,15.9,6.9,6.5,10.5,9.7,9.5,11.2,13.1,NaN,NaN,NaN,NaN,NaN,NaN
A,PC,DEG3,AL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.9,5.1,4.9,3.0,2.8,NaN,NaN,NaN
A,PC,DEG3,AT,NaN,4.4,3.2,3.2,3.1,3.5,3.0,3.3,3.0,3.8,4.3,3.0,2.4,3.8,4.0,4.0,3.6,3.2,3.5,4.2,2.9,3.0
